text,labels
"It's 3rd class organization for world's biggest cup , sad to see helplessness of icc on this cruisal matter, #icc must learn from India about ground management and organizing such bigger tournament #ShameOnICC",1
'I'm not from Central Casting'  It seems Sajid javid has hired some American campaign consultants.   #C4debate #ToryLeadershipContest #Conservatives #BorisJohnsonShouldNotBePM https://t.co/dxAEzkkEcM,1
Day by day.. WB politics becomes worst..  #DoctorsFightBack  #DoctorsProtest  #standwithdoctors https://t.co/U78LzShuJk,1
"Cross-posting from a friends FB post:  'Please supply the names and addresses of two referees whom we may approach, ideally one from your school or college and one from a former employer:' #BorisJohnsonShouldNotBePM https://t.co/VPE5yrkMkf",0
White House Reportedly Blocked Written Testimony of Official on Climate Change #Resist #ResistTrump #FuckTrump https://t.co/dtvr8sbVXs,1
#ShameOnICC   Lot of fans waited to see how it rains...Instead of spotting mistakes in gloves...Show some intrest in maintenance also...@ICC https://t.co/VjKCgq0pXH,0
I can't believe this is real. #trump #douchebag #pride2019 #Pride #PrideMonth #mikepence https://t.co/iUQ7p1RI6F,1
⁦@realDonaldTrump⁩ puts GOP in tough spot with remarks on foreign 'dirt' #TrumpIsATraitor #TrumpRussiaCollusion #PutinsPuppet  https://t.co/EqGikBelo3,1
"@tolits0118 Thank you, Vietnam! But unfortunately, .@RRD_Davao and his cohorts have been paid off by China to the detriment of the Filipino people. #TraitorDuterte #BoycottChina",0
"@ICC  praying namaz on the field is nothing but wearing gloves with a symbol of sacrifice is a violation of rules . Great stuff, hypocrisy at it's best #DhoniKeepsTheGlove #DhoniKeSaathDesh  @BCCI @msdhoni",1
@JeffreyToobin Look at him...enjoying life...He robbed 2 people of theirs and couldn’t care less...#Murderer,1
@PressSec from 2017 on if you looked up the word liar in the dictionary it would have a picture of #FuckTrump and #FuckSanders holding hands. Her name will forever be linked to the word liar just like Benedict Arnold is linked with #Traitor. Good Riddance #Liar #AlternativeFacts,0
@tonyposnanski @PressSec @realDonaldTrump So well said. I totally agree with every word.  The White House is full of corrupt habitual liars.  #FuckTrump and his pathetic puppets.,0
Change host uk to India know @ICC   #ShameOnICC,1
"So does Trump try a power play to distract from his crazy talk? Pompeo has it set up now for an assault on Iran.  Will he stoop that low? Using emergency powers as POTUS simply to distract, and no regard for our soldiers?  #TrumpIsATraitor   #TrumpCult   #TrumpDerangementSyndrome",1
".@drharshvardhan, union minister of health writes to all CMs- Calls for strict action against any person who assaults doctors. #violenceAgainstdoctors  #Savethedoctors #DoctorsFightBack",0
@GavinNewsom Who voted for you!!  All about Trump as always. #douchebag,1
Hey everybody I just released a new single entitled “For The People” if you could take a few minutes out of your day and give it a listen and share it if you like it I would greatly greatly appreciate it #punkrock #politicalpunk #NewMusic #fucktrump https://t.co/Kx8EvolZmQ,1
"Dear @narendramodi sir,   Please look into the current medical situation in West Bengal.Many of the innocent patients are losing their lives due to some adverse decisions by CM ... it is all her ego.. ....#SaveBengal #Savethedoctors   #DoctorsFightBack   #MamataLosingControl",1
@SenSchumer DO NOT FORGOT YOU WANYED BORDERS CLOSED AND ILLEGALS OUT. #DICKHEAD,1
water have no color but gloves does have that is why @ICC  saw dhoni's glove not the water.  #ShameOnICC,1
Pete Buttigieg just gave his first foreign policy speech. He offered 5 clear proposals. #Resist #ResistTrump #FuckTrump https://t.co/fScveRX4Ms,1
"We are with the doctors of west bengal.  From Bhavnagar, Gujrat.  @MamataOfficial @PMOIndia @drharshvardhan @MoHFW_INDIA   #Savethedoctors #SaveBengal #DoctorsFightBack #DoctorStrike #doctors_against_assualt #DoctorsProtest https://t.co/qsAQYmvJR1",1
"Taking a trip to New York. If this gets 100 likes, I'll take a shit on Trump Tower. #fucktrump #TrumpsWorseThanNixon",0
Fact One  @RoryStewartUK and #BorisJohnson attend Eton and Oxford  #RoryStewart becomes Foreign office Diplomat awarded OBE for services in Afghanistan  #BorisJohnson becomes Times Newspaper Columnist sacked for deception  #roryforleader #BorisJohnsonShouldNotBePM,0
#c4debate. As we suspected a shower of numpties. Wish #BorisJohnsonShouldNotBePM had been there to show the full ridiculous hand the Tories have to play. So glad to have #indyref2 as alternative.,0
The beauty at its beauty. Well crafted. High Performance. #OnePlus7Pro in new 'Almond'    @suriyaisthebest @Pavankumarnamba @Siva79999352 @JillaMassVijay - Get it now on @amazonIN 👇    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #ShameOnICC #FridayMotivation #FridayFeeling,1
Happy born day Donald   Or hatched day . . . Spawned day  Whatever happened with you    #FuckTrump    https://t.co/5pDDnBCBIw,1
@republic #DoctorsFightBack Situation going out of control-critical patients not getting treatment as doctors are on strike. @MamataOfficial must respond to diffuse the situation &amp; not accelerate  the problem as she did by threatening Doctors at SSKM on 13 June 2019. @pradip103,1
@Lilsuzy1962 And actually #FuckTrump impressed me also. 👍👍👍,0
"@realDonaldTrump Tremendous crowds? I was there this afternoon, and this was the scene 😂😂😂. Check out the protests tomorrow #fucktrump https://t.co/jYqM2q7n9b",1
#DhoniKeepsTheGlove  #DhoniKeSaathDesh  #IndiaWithDhoni    What you support ?,1
"According to The Times and the Daily Mail, Brussels believe that whoever wins the Conservative leadership race will agree to an extension to the UK’s departure from the EU..  https://t.co/Y4JFZcXprQ    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/Lg1MksA2eG",1
@realDonaldTrump Surrender. It’s all coming out. Everything. Everyone will know the truth. #TrumpIsATraitor,1
"@ICC should have so many better options to stop rain 😁 ,But they are not willing to doing anything.#ShameOnICC https://t.co/gaKtXNUZVi",1
@GOP @realDonaldTrump We wouldn't have to give bailouts to farmers if it wasn't for trump's tariffs. #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45 #FuckTrump #Impeach45,0
@AndyBitterVT Wow what are they thinking??? Liberty &amp; Middle Tenn in the same season??? #murderer'srow,1
#ShameOnICC Good point raised on Indian TV - @ICC takes a bigger load of money from India and robs the Indian fans of WC experience - so Indians are being robbed twice!! Shame on @BCCI for letting ICc get away @KirenRijiju Why should a toothless org like @ICC run the game?,1
*119 doctors in West Bengal had resigned over voilence    *Called for Nation wide protest     #SaveBengal   #DoctorsFightBack,1
"@ICC - See, We just focused on Gloves only!  #INDvNZ #dhonikeepstheglove #ViratKohli https://t.co/Xyn44ijRH2",1
@BDUTT @msdhoni @adgpi Resounding that #DhoniKeepsTheGlove,1
@DrDenaGrayson I can’t wait for the debates. So much to chose from. #TrumpIsADisgrace #TrumpIsACriminal #TrumpIsATraitor #ImpeachDonaldTrump,1
@realDonaldTrump Did Warner use the information about you while running against you in a Presidential election? Did Adam Schiff? Stupid piece of shit!    #ObstructionOfJustice  #HighCrimesAndMisdemeanors  #Collusion  #TraitorTrump  #ImpeachTrumpNow  #LockHimUp  #FuckTrump    #Resistance 🇺🇲🇺🇲🇺🇲 https://t.co/bUKPESZ4gS,0
Keep talking Donald. #ImpeachtheMF #FuckTrump #maga #FOXNews @GOP https://t.co/gmAg19WNFz via @HuffPostPol,1
"If a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. #Savethedoctors #SaveBengal #savethesaviour #SaveDoctors #DoctorsFightBack #DoctorsStrike #DoctorsProtest #doctor #DoctorStrike https://t.co/RPe3CTQPp3",1
500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors,1
#ShameOnICC thank you for ruining the most awaited tournament in India @ICC,1
Happy #JohnMCainDay #JohnMcCainDayJune14th #JohnMcCainAmericanHero 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸Also #FuckTrump,1
"@HouseGOP @SenateGOP @senatemajldr @GOP   If #Trump wins 2020, EVERYBODY knows it's Russian hacking.   Everybody. Knows.  #TrumpIsAFraud   #TrumpIsATraitor   #TrumpIsADisgrace   #TrumpIsNotAboveTheLaw   #UnfitToBePresident   YOU know it too🤬 https://t.co/LIfZQ2OEBC",0
@cdnfp @SecPompeo @StateDept @realDonaldTrump Prince of Walls??  #TrumpIsATraitor #NervousDonald,0
#DhoniKeepTheGlove  @ICC @cricketworldcup   I think your busy enough to note glove than a important thing.#DhoniKeepsTheGlove https://t.co/PrN5BXvxrB,1
😂Forget Parsees Save 😂 #CongBachaoRahulHatao #congressneveragain #CongressMuktMaharashtra #CongressParty #congresschorhai #rajivviraatvacation #rajivgandhichorhai #rahulscorpenelink #RahulNowLiability #CongratulationsMheshimiwa #AbkiBaar300Paar #AbHogaNYAY #CongressMuktBharat https://t.co/ahrf2pJ0xm,0
Kamala Harris: Trump is a 'clear and present threat to democracy' #Resist #ResistTrump #FuckTrump https://t.co/tiXRqWV5V4,0
Some Cars its wiser to stay away from!!  😣😔😥... 😅😁😁😁😁😏  #fear #not #eyes #open #peeled #set #up #enemy #truly #beware #liars #molestors #rapist #all #shit #eat #eaters #tire #not #solid #soldier #God #first https://t.co/AEILxDvfFG,1
@polisands @GOP @realDonaldTrump I’m sorry you are so I’ll-informed! It is a crime to take foreign government’s help in order to influence an election and YOUR president said he’d commit that crime to get re-elected!! #SAD #TrumpIsATraitor,0
"@smiller4002 Hi Scott. Count me in please, and thanks for uniting all #Resisters   #HappyJohnMcCainDay  #HappyJohnMcCainDay   #HappyJohnMcCainDay   #HappyJohnMcCainDayJune14   #FuckTrump",1
"@RealSkipBayless As usual ,  your wrong. #hack #douchebag",1
Disappointing!! Years of planning and yet they failed in organising the world's most important cricket event!! #ShameOnICC Shouldn't have held the event in this season!! https://t.co/VzAuPFIEhO,1
Dear @ICC  pls concentrate on real issues. Don't make issues. @BCCI #ICCWC2019 #DhoniKeepsTheGlove  #Dhonikesaathdesh https://t.co/AoYkx8obob,1
"@realDonaldTrump   #realdonaldtrump #fucktrump #trump2020  GETTIN READY TO WATCH FOX N FRIENDS WITH MY IDIOT BUDDY, DOG VOMIT TRUMP https://t.co/BAGmLwBQzF",0
Deleting 33k emails with recipes in them is the real obstruction... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 #dickhead https://t.co/Ens564GEm5,1
DON'T #Retweet This Because #Trump Doesn't Want You To Retweet His #Impeachment Fear #FuckTrump #IndictTrump #JailTrump #Resistance #Resist #Drumpf #TrumpObstruction #TrumpCorruption #BLOTUS #TrumpRussia #CrookedTrump #TrumpCrimes #Impeach45 #Indict45 #FBR https://t.co/7tmZ86aN8B,1
"This truly is a crisis and, worst part is, his delusional admirers will probably never know. They'll just blame everyone else for his stupidity, fear mongering, hate, greed and lies. #FuckTrump",1
ICC you can stop dhoni but can't stop his fans . 🇮🇳 Jai Hind .  #Msd #DhoniKeepsTheGlove #CWC19 #INDvAUS #BalidanBadge https://t.co/0ASG73UmO4,1
Some much needed clarification after #trumps unhinged comments yesterday.    #TrumpResignNow #TuckFrump #TrumpIsATraitor #ThursdayThoughts    FACT CHECK: Foreign Interference And 'Opposition Research' Are Not The Same https://t.co/xy34VWVsvA,1
@realDonaldTrump is Putin’s Puppet!   #TrumpsWorseThanNixon   #TrumpMustResign   #TrumpIsATraitor   #TrumpColludedWithRussia https://t.co/G6jtyzOICR,0
#Narendra_Modi Sir please look into Bihar children too.... the need your attention very much. Remember that that Children's family also done vote in your favour... ,1
@thehill But he didn't. #TrumpsWorseThanNixon #TrumpIsATraitor,1
Democrats to Scrutinize Ex-Lobbyist’s Role in Trump’s Arms Sales to Gulf Nations #Resist #ResistTrump #FuckTrump https://t.co/Md6xsF1aC0,1
Couldn’t get around @SteveBuckwalter so @WindomChris decided to just flat out take him out. Nice move there bud #dickhead,1
"Smdh, #Resist #DitchMitch #DitchMitch2020 #fucktrump #VoteBlue2020 #VoteBlueNoMatterWho  EPA Air Chief Gave Presentation At Fringe Climate Denier Event, New Emails Show  https://t.co/axDBOOjZVN",1
"MSD on glove row: Will stick to ICC’s rules   https://t.co/naHXIfGEUh    Thank you @msdhoni for following the rules and keeping Cricket, exactly what it is, A Sport!    Desh Bhakti dikhaneke aur bhi tareeke hai     #CWC19 #DhoniKeepsTheGlove",1
5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause.   History has been created as this is probably one of the biggest movement that has been carried out by the doctors.   #DoctorsFightBack https://t.co/QVZ12X03ma https://t.co/OKgUzp5JRa,1
"@ICC Early morning Farting exercise, organised by ICC for there loyal dogs 🐕   #DhoniKeepsTheGlove",0
Cannot wait until Sunday &amp; @GStephanopoulos interview with #Trump!   If they released the BOMBSHELLS they did - then what is @ABC saving for the ratings?  #TrumpTantrum #ABCNews #TrumpIsATraitor,1
Trump Administration Is Making It Harder to Find Out Whether It’s Fighting White Supremacist Terror #Resist #ResistTrump #FuckTrump https://t.co/Yj0KxyAhqe,0
"#BCCI You guys are truly assamed of you the indipendent body and representing the country whose has this much cricket fans,   Be strict and stand with #DhoniKeepsTheGlove ,",1
@GOP Happy #JohnMcCainDayJune14   #FuckTrump,1
Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN,1
#DhoniKeepsTheGlove don't change gloves make a sticker on it of your daughter's name.,1
"@Change @LisaVanderpump @RepHastingsFL Signed previously and YES, The WHOLE W🌎RLD Wants This Hell, Horror and Heartbreak To End Already!!!  Send Emails To @realDonaldTrump👇  https://t.co/WYzQGtlK7D  #ChinaTradeDeal  #YulinDogMeatFestival   #STOPYULIN  #China  #EndDogMeatTrade  #BoycottChina https://t.co/rx2R7A9XWf",1
@br_CBB Pay Pal Cal better leave some cash for his recruits #cheater #douchebag #prick,1
"#ShameOnICC the weather we cannnot control, investment in covers you can..... as for some of the ticket prices truly shocking. Like the Champions trophy last year you would rather have stack of empty Corporate seats than a stadium full of excited fans. 105 pound for Eng Bangla👿",1
@brooklynmarie @PressSec @realDonaldTrump Amen to that! #fucktrump,1
The unfinished task of #congressmuktbharat continues https://t.co/ARi8fDUJtU,1
"Russia has no intentions of withdrawing from Venezuela, but Trump said they told him they will and 'he's always right.'    Russia is establishing a presence in this hemisphere. It must be #fakenews that JFK stopped a war over that in Cuba. #FuckTrump  https://t.co/Xv0JL3IRTb",1
#DoYourJobMitch When will you get serious? 9/11 #FirstResponders responded in 5 secs they have waited 8yrs for you to respond😠  #YouShouldBeAshamed   #Resist #FuckTrump #VoteBlueToEndThisNightmare #VoteBlue2020 #ImpeachTrump #ImpeachMconnell https://t.co/4sTj7JPPo4,1
"@ICC I think icc full supporting to England to go semi finals and win the World Cup, because no rain in England match's     You can do anything but England is not going to win World Cup 🙉🙉    #ShameOnICC #ShameOnEngland",0
This Guy is a reported rapist and if you see him you should imedietly call the cops. #rapist #gangbang https://t.co/6r1r7QzBBR,0
I got this stress reliever this evening. Any time I read an ignorant ass tweet I just give ole Trump a squeeze. It seems to really help. #Trumpism #fucktrump #VoteBlueNoMatterWho https://t.co/62nDz4afJd,0
"@LindseyGrahamSC @realDonaldTrump @LindseyGrahamSC is definitely #UnfitForOffice!    Convenient, isn't it Graham, that Trump backed out of the Iran agreement, even though there were no violations reported?!    AND NOW, Trump has jumped aboard the #USSTrumpFail, accompanied by Putin &amp; Saudi Arabia!  #TrumpIsATraitor",0
@BrexitBin @guyverhofstadt I wonder if this nitwit has ever bought a car on the never never and refused to pay for it after taking delivery claiming “it’s my money”. #dickhead,1
"Why do Trump supporters, especially farmers, think that he is a good businessman. Every business went bankrupt, every contractor didn’t get paid, he bankrupt Atlantic City. He has no idea how economics works. He was nothing but a game show host. #FuckTrump",1
"@realDonaldTrump I know 'demagoguery' is a big word for you, but Cranston was talking about YOU!! #Criminal #Traitor #Liar #DoucheBag https://t.co/4RDFhhQS8A",0
Disappointment Remains #ShameOnICC https://t.co/g5ou0TLN3I,1
Theresa May threatens to block Brexit No Deal as friends say she voted for Remainer Rory Stewart in Tory contest   https://t.co/n9cRi1pXln   #BorisJohnsonShouldNotBePM   #PutItToThePeople #SummerOfResistance #StopBrexit,1
"Mikey promises to solve the #mystery, but he already has his hands full with the full-fledged #murderer still on the loose. #mustread #fiction #thriller #mystery #children  @RuthADouthitt available at Amazon --&gt; https://t.co/5uBnF1G0en https://t.co/zdRL8nfaiO",1
MY THOUGHTS ON #BORISJOHNSON #BorisJohnsonShouldNotBePM https://t.co/5AIpBOYyYY,1
If England can do this  so why not india can do this   #ICC #Balidan #DhoniKeepsTheGlove https://t.co/i5eq7VRWad,1
#ShameOnICC    @ECB_cricket can use her to cover the stadium... https://t.co/VfVlLWLnt8,1
@cowboytexas @MedicVet68 Projection.  #TrumpIsATraitor https://t.co/fbSmF4YIhZ,1
@WhiteHouse @realDonaldTrump #FuckTrump  His trade game is NOT working...just like the #GOPTaxScam,1
Hello @ICC what is this? Entire Pakistani team on field and what wrong about #Dhoni   #DhoniKeSaathDesh #DhoniKeepsTheGlove https://t.co/WSvQG8IrSM,1
@msdhoni is not on army duty while playing for #India He must not &amp; should not wear #ArmyInsignia during games  I support ICC decision for asking him NOT TO  #DhoniKeepsTheGlove,1
Reply for the press to the govt. From GB meeting consensus of junior doctors. LONG LIVE DOCTORS' UNITY! #NRSMCH #DoctorsStrike #DoctorsFightBack #Savethedoctors @republic @TimesNow @ZeeNews @narendramodi @drharshvardhan https://t.co/fa9vzwEVkq,1
"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/TzwRcJnBnB",0
@Jon77349053 @AyeJaiFPS @JCMGoochy @Mogulsgg She probaBLY did! #douchebag #learnhowtospell,0
@realDonaldTrump I already work two jobs and barely get to see my husband who also works multiple jobs we miss out on spending time with our daughter ALL because of inflation and trying to make ends meet! #fucktrump #fucktariffs #imissobama,0
@thehill Projection Projection Projection.  PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION PROJECTION #TrumpCrimeFamily #FuckTrump  #DerangedDonald #FeebleDonnie #FeebleDon,1
I think Rain will be top on chart and we can see  it on FINALE  also😂😂 #ShameOnICC https://t.co/N9IvXG8iRq,0
What next @ShekharGupta ji ? Don’t put the flag on the blue jersey !!!??Because if the badge stirred the board or neighbours the flag will kill them !     I stand with @msdhoni   #DhoniKeepsTheGlove https://t.co/Os3GgA6IIF,0
@ProFootballTalk @TheRealOJ32 Better watched your head. #murderer,1
How Trump's 'fake news' rhetoric has gotten out of control #Resist #ResistTrump #FuckTrump https://t.co/x4fj9v9EOO,1
Hey @realDonaldTrump just wanted to wish you a HAPPY #JohhMcCainDay You fucking disgrace! #FakePresident #FuckTrump,0
How about we all agree to never take health advice from a celebrity (looking at you @JessicaBiel ) and to never again elect one as president? Ok. Good talk. Thanks.  #antivaxxers #fuckouttahere #ImpeachmentInquiryNow #fucktrump #ThursdayThought,1
Who should do investigation for #TGSFraud #DreamZGKfraud  #IMAfraud ? 5Th scam in Karnataka . More than 36000 victims due to poor governance by State Govt.,1
Walking on Road    A random uncle to me: Oye betichod    Me: Haan Sasur ji.😁😁😁    #Kick2 #SaahoTeaserAnnouncement #Saaho #SaahoTrailer #YuvrajSingh #SaahoTrailerAnnouncementToday #Dhoni #DhoniKeepTheGlove #DhoniAtCWC19 #DHONIKESAATHDESH #dhonisix #DhoniKeepsTheGlove #SaahoStrom,0
@Strandjunker perfect 👌🏼 plus add 100 lbs. #LockHimUp #Traitor #Rapist,0
@realDonaldTrump Boom like your fake attack on The Japanese ship you incompetent TV watching old nasty liar? Only way to get you 🍄up? Where’s Eric Prince? #wagTheDog #TrumpsConcentrationCamps #TrumpIsATraitor #NoIranWar #impeachment,0
Goddamit #fucktrump https://t.co/wLiQVcOCtG,1
"InfoWars and others spread lies on migrants bringing Ebola to US, officials confirm they're lying #Resist #ResistTrump #FuckTrump https://t.co/uGtz5YWZOL",1
@Restart_512 @Restart_iran201 @realDonaldTrump @foxandfriends @FoxNews You know that Trump is the spawn of Satan? #TrumpResignNow #TrumpUKVisit #TrumpRussia #TrumpIsATraitor,1
This is getting bigger!  Dr. Plaban Mukherjee the first cardiologist to carry out a successful heart transplant in a govt. medical hospital in India &amp; East India resigns.  #SaveTheDoctors #DoctorsFightBack… https://t.co/Ad1yko9i9d,1
@WhiteHouse Did that flag sign a NDA before it was molested?  #DopeyDonald  #FuckTrump  #FakeMelania  #CreepyPence  #Impeach45,1
@lifetothemax1 The funniest part about it is that no one else would have even noticed the cough if he wouldn’t have pointed it out. #DoucheBag,1
"@realDonaldTrump Same BS from your mouth, different day. Do your job and quit whining. #moroninchief #IdiotInChief #idiotTrump #MoronPresident #lyingTrump #DerangedDonald #DerangedDonnie #crybaby https://t.co/r7GWw6WYsc",0
#BorisJohnsonShouldNotBePM please RT!,1
Have we failed our Doctors? https://t.co/4OTEkcOB7A via @wordpressdotcom   #DoctorsFightBack #DoctorStrike #WestBengal,1
@KamalaHarris #WillieBrownsCumDumpster   #HorizontalHarris   #HeelsUpHarris     What about the fathers who can’t be with their children because they were ripped from the womb?    @KamalaHarris = #murderer  @KamalaHarris = #Disgrace to humanity,0
How can they be so Naive to not check the weather condition &amp; choose Location accordingly before fixing the Tournament. People do this even before fixing Marriage Date. #ShameOnICC #CricketWorldCup19 https://t.co/NA9FiRKiNo,0
People from other Indian states are outsiders to @MamataOfficial.  But Bangladeshis are more dear to her than even the insiders.    #DoctorsProtest  #DoctorsFightBack  #DoctorsStrike  #DoctorsUnderOpression  #Doctors  @AITCofficial @BJP4India  @PMOIndia @narendramodi,0
@PlayBazaar @PlayBazzar @AllPlayBazaar #SattaKing #PlayBazaar #SattaResult #moneysupermarket #dpboss #sattakingdarbar #resultsatta #sattaresult #trending #satta #FridayFeeling #SaveBengal #ShameonICC #ABrandNewDayOutNow #Vope #VopeIsDope     Link: https://t.co/bpgkmUDz5B https://t.co/P1VQJkCYFK,1
"From a known liar and #FakeNewsCNN contributor. Great work Slimewell, great work! #DoucheBag #EnemyOfThePeople https://t.co/3poAWACg4n",0
